Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,1219.85,2767.42,3683.07,11469.37,9132.2,19176.15,27539.45,36588.04,46045.28,926.793974232799,1795.69,2087.67,2768.95
57  Fe  [ He ] ,Conc. [ ppb ],0,1.32,2.99,3.97,12.38,9.85,20.69,29.71,39.48,49.68,NA,NA,NA,NA
,Avg.intensity,1795.69,3015.54,4563.11,5478.76,13265.06,10927.89,20971.84,29335.14,38383.73,47840.97,NA,NA,NA,NA
,std,5.42,7.72,8.68,2.16,40.34,5.36,2.01,1.01,0.99,1.35,NA,NA,NA,NA
NA,y-y0,0,95335.72,156604.65,309503.12,479692.26,640689.38,1267323.79,1866534.12,2485484.18,3025581.83,63639.0383615819,2327.99,3116.48,4956.29
59  Co  [ He ] ,Conc. [ ppb ],0,1.55,2.54,5.03,7.79,10.41,20.58,30.32,40.37,49.14,NA,NA,NA,NA
,Avg.intensity,2327.99,97663.71,158932.64,311831.11,482020.25,643017.37,1269651.78,1868862.11,2487812.17,3027909.82,NA,NA,NA,NA
,std,11.29,2.99,1.18,0.94,0.61,1.76,0.36,1.54,0.98,1.66,NA,NA,NA,NA
NA,y-y0,0,25104.94,41077.04,80440.64,121207.27,162524.39,325432.77,488381.8,653833.34,807555.1,16260.5114689266,613.36,784.3,1183.17
60  Ni  [ He ] ,Conc. [ ppb ],0,1.55,2.53,4.95,7.46,10.01,20.04,30.07,40.26,49.73,NA,NA,NA,NA
,Avg.intensity,613.36,25718.3,41690.4,81054,121820.63,163137.75,326046.13,488995.16,654446.7,808168.46,NA,NA,NA,NA
,std,9.29,1.81,1.64,0.9,0.93,1.77,0.47,1.01,0.59,0.9,NA,NA,NA,NA
NA,y-y0,0,65123.31,114937.98,211720.43,319394.22,434808.9,873659.32,1310477.62,1669154.48,2054407.53,41948.4095481793,7518.46,7811.68,8495.86
63  Cu  [ He ] ,Conc. [ ppb ],0,1.55,2.74,5.05,7.61,10.37,20.83,31.24,39.79,48.97,NA,NA,NA,NA
,Avg.intensity,7518.46,72641.77,122456.44,219238.89,326912.68,442327.36,881177.78,1317996.08,1676672.94,2061925.99,NA,NA,NA,NA
,std,1.3,1.01,2.06,1.77,0.68,0.9,1.17,0.8,1.23,0.98,NA,NA,NA,NA
NA,y-y0,0,20936.47,20978.69,36895.67,55303.96,75191.19,150022.81,226218.09,302898.5,373448.26,7515.41648832424,2844.74,3252.68,4204.53
66  Zn  [ He ] ,Conc. [ ppb ],0,2.79,2.79,4.91,7.36,10.01,19.97,30.11,40.32,49.71,NA,NA,NA,NA
,Avg.intensity,2844.74,23781.21,23823.43,39740.41,58148.7,78035.93,152867.55,229062.83,305743.24,376293,NA,NA,NA,NA
,std,4.78,6.21,1.68,1.48,1.86,1.66,1.15,0.43,0.1,1.28,NA,NA,NA,NA
NA,y-y0,0,41647.26,89270.32,213651.67,355333.8,499716.15,1064224.59,1571768.5,2118875.26,2668967.25,45176.1006779661,225.56,318.47,535.25
107  Ag  [ He ] ,Conc. [ ppb ],0,0.79,1.69,4.04,6.72,9.45,20.12,29.71,40.05,50.45,NA,NA,NA,NA
,Avg.intensity,225.56,41872.82,89495.88,213877.23,355559.36,499941.71,1064450.15,1571994.06,2119100.82,2669192.81,NA,NA,NA,NA
,std,13.73,3.98,3.2,2.59,2.72,1.25,1.51,1.94,0.71,1.99,NA,NA,NA,NA
NA,y-y0,0,14121.79,24251.33,46401.64,70230.08,94892.67,184768.58,282084.18,377805.95,469201.44,9396.54963138588,20,29.99,53.3
111  Cd  [ He ] ,Conc. [ ppb ],0,1.5,2.58,4.94,7.47,10.1,19.66,30.02,40.21,49.93,NA,NA,NA,NA
,Avg.intensity,20,14141.79,24271.33,46421.64,70250.08,94912.67,184788.58,282104.18,377825.95,469221.44,NA,NA,NA,NA
,std,16.65,1.22,0.71,2.5,1.44,1.5,0.71,1.41,0.79,0.56,NA,NA,NA,NA
NA,y-y0,0,5716.77,18498.14,48072.54,80589.79,105451.6,303495.39,5481.14,2541.4,1592.35,10132.7485310734,103.34,173.34,336.68
202  Hg  [ He ] ,Conc. [ ppb ],0,0.55,1.79,4.64,7.79,10.19,29.32,0.53,0.25,0.15,NA,NA,NA,NA
,Avg.intensity,103.34,5820.11,18601.48,48175.88,80693.13,105554.94,303598.73,5584.48,2644.74,1695.69,NA,NA,NA,NA
,std,22.58,2.17,3.97,0.42,1.99,2.07,2.34,4.18,2.99,4.53,NA,NA,NA,NA
