ID,Area,DW,Year,ID_num,Tissue,dta_km,dtfl_km,Gender,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
47_01_muscle,47,100.0,2021,01,Muscle,544,181,1,49°33'S,59°59'W,6,288.00,646.2,5,2.397,0.064,0,0.611
47_02_muscle,47,102.4,2021,02,Muscle,544,181,1,49°33'S,59°59'W,6,254.00,444.5,5,2.473,0.03,0,0.468
47_03_muscle,47,106.4,2021,03,Muscle,544,181,1,49°33'S,59°59'W,6,246.00,453.3,5,2.313,0.123,10 BLOQ,0.347
47_04_muscle,47,103.3,2021,04,Muscle,544,181,0,49°33'S,59°59'W,6,310.00,875.8,3,4.533,0.041,0,0.802
47_05_muscle,47,101.2,2021,05,Muscle,544,181,1,49°33'S,59°59'W,6,267.00,572.8,5,2.769,0.108,0,0.875
47_06_muscle,47,101.7,2021,06,Muscle,544,181,0,49°33'S,59°59'W,6,269.00,478.6,3,5.025,0.048,0,1.127
47_07_muscle,47,102.0,2021,07,Muscle,544,181,1,49°33'S,59°59'W,6,250.00,439.4,5,0.868,0.117,10 BLOQ,0.57
47_08_muscle,47,106.1,2021,08,Muscle,544,181,0,49°33'S,59°59'W,6,273.00,574.7,4,2.374,0.034,0,0.492
47_09_muscle,47,101.4,2021,09,Muscle,544,181,0,49°33'S,59°59'W,6,273.00,671.6,4,1.505,0.047,0,0.596
47_10_muscle,47,109.0,2021,10,Muscle,544,181,0,49°33'S,59°59'W,6,276.00,512.9,3,3.778,0.12,0,0.489
47_11_muscle,47,101.8,2021,11,Muscle,544,181,0,49°33'S,59°59'W,6,310.00,754.1,4,0.259,2.5 BLOQ,0,0.386
47_12_muscle,47,102.1,2021,12,Muscle,544,181,1,49°33'S,59°59'W,6,241.00,404.0,4,0.548,0.091,10 BLOQ,0.53
47_13_muscle,47,108.0,2021,13,Muscle,544,181,0,49°33'S,59°59'W,6,257.00,462.9,3,1.155,0.179,10 BLOQ,0.54
47_14_muscle,47,103.3,2021,14,Muscle,544,181,1,49°33'S,59°59'W,6,257.00,445.3,4,2.95,0.12,10 BLOQ,0.496
47_15_muscle,47,103.2,2021,15,Muscle,544,181,1,49°33'S,59°59'W,6,274.90,376.8,3,6.595,0.161,0,0.404
49_01_muscle,49,103.5,2021,01,Muscle,376,460,1,46°55'S,60°51'W,5,242.30,378.4,3,0.662,0.434,0,0.686
49_02_muscle,49,106.4,2021,02,Muscle,376,460,0,46°55'S,60°51'W,5,261.54,463.9,3,0.377,0.279,0,0.454
49_03_muscle,49,108.6,2021,03,Muscle,376,460,0,46°55'S,60°51'W,5,308.12,807.5,3,0.483,0.024,10 BLOQ,0.272
49_04_muscle,49,105.4,2021,04,Muscle,376,460,1,46°55'S,60°51'W,5,289.00,529.7,5,0.447,0.046,0,0.395
49_05_muscle,49,105.4,2021,05,Muscle,376,460,0,46°55'S,60°51'W,5,260.00,468.0,3,0.938,0.051,0,0.367
49_06_muscle,49,105.5,2021,06,Muscle,376,460,1,46°55'S,60°51'W,5,218.00,229.1,5,0.262,0.096,0,0.198
49_07_muscle,49,101.9,2021,07,Muscle,376,460,1,46°55'S,60°51'W,5,183.00,108.6,1,0.262,0.09,0,0.257
49_08_muscle,49,100.0,2021,08,Muscle,376,460,0,46°55'S,60°51'W,5,206.00,158.3,2,0.193,0.126,0,0.392
49_09_muscle,49,107.5,2021,09,Muscle,376,460,0,46°55'S,60°51'W,5,219.00,186.2,2,0.132,0.058,0,0.237
